Ontology transportation.incoherent.xml
1157/2380 tiên đề logic
Số khái niệm không thoả được: 62
Số khái niệm: 445
Số tiên đề tri thức nền ban đầu: 1015
OpenTopRailcar ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
SeaLane ⊑ LightTruck: NA_ODP (k=10, nAx=1134, nAxPerStep=11.9, nDeltaODP = 98)
PortCrane ⊑ LightTruck: NA_ODP (k=8, nAx=1136, nAxPerStep=15.1, nDeltaODP = 98)
RiverPort ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
MultifunctionalLargeLoadCarrierShip ⊑ LightTruck: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
DryBulkCarrierShip ⊑ LightTruck: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
GondolaRailcar ⊑ LightTruck: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
LocomotiveCoalCar ⊑ LightTruck: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
BargeCarrierShip ⊑ LightTruck: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
DromedaryContainer ⊑ LightTruck: NA_ODP (k=8, nAx=1136, nAxPerStep=15.1, nDeltaODP = 98)
CaseRole ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
VehicleCrew ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
MovingViolation ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
RadarFacility ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
OneWayTransitway ⊑ LightTruck: NA_ODP (k=8, nAx=1134, nAxPerStep=14.9, nDeltaODP = 98)
SelfDischargingBulkCarrierShip ⊑ LightTruck: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
ContainerHandlingEquipment ⊑ LightTruck: NA_ODP (k=3, nAx=1114, nAxPerStep=33.0, nDeltaODP = 98)
ClassIIRailroad ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Airplane ⊑ LightTruck: NA_ODP (k=6, nAx=1116, nAxPerStep=16.8, nDeltaODP = 84)
BroadGaugeRailway ⊑ LightTruck: NA_ODP (k=11, nAx=1134, nAxPerStep=10.8, nDeltaODP = 97)
StationaryArtifact ⊑ LightTruck: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 98)
Radar ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
UnitOfMeasure ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
ContainerAndRoRoCargoShip ⊑ LightTruck: NA_ODP (k=3, nAx=1115, nAxPerStep=33.3, nDeltaODP = 98)
Lighter ⊑ LightTruck: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
PortDetention ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
GalleryCar ⊑ LightTruck: NA_ODP (k=15, nAx=1157, nAxPerStep=9.5, nDeltaODP = 98)
PalletizedCargoShip ⊑ LightTruck: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
IntermodalTransportationSystem ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
PassengerAndLandingCraft ⊑ LightTruck: NA_ODP (k=4, nAx=1114, nAxPerStep=24.8, nDeltaODP = 97)
TransitwayState ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
⊤ ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
WaterArea ⊑ LightTruck: NA_ODP (k=4, nAx=1115, nAxPerStep=25.0, nDeltaODP = 98)
FishFactoryShip ⊑ LightTruck: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
ClassIIIRailroad ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
CanalLock ⊑ LightTruck: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 98)
Vehicle ⊑ LightTruck: NA_ODP (k=9, nAx=1136, nAxPerStep=13.4, nDeltaODP = 98)
TransitStop ⊑ LightTruck: NA_ODP (k=6, nAx=1134, nAxPerStep=19.8, nDeltaODP = 98)
WindPoweredDevice ⊑ LightTruck: NA_ODP (k=3, nAx=1114, nAxPerStep=33.0, nDeltaODP = 98)
RoadTransportationSystem ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
License ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
UserPoweredDevice ⊑ LightTruck: NA_ODP (k=3, nAx=1114, nAxPerStep=33.0, nDeltaODP = 98)
DangerousGoods ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Automobile ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 86)
ShipCompartment ⊑ LightTruck: NA_ODP (k=5, nAx=1116, nAxPerStep=20.2, nDeltaODP = 98)
DisplacementHullWatercraft ⊑ LightTruck: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
TimeInterval ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Canal ⊑ LightTruck: NA_ODP (k=10, nAx=1134, nAxPerStep=11.9, nDeltaODP = 98)
Artifact ⊑ LightTruck: NA_ODP (k=4, nAx=1116, nAxPerStep=25.3, nDeltaODP = 98)
Locomotive ⊑ LightTruck: NA_ODP (k=4, nAx=1114, nAxPerStep=24.8, nDeltaODP = 89)
WaterwayJunction ⊑ LightTruck: NA_ODP (k=5, nAx=1116, nAxPerStep=20.2, nDeltaODP = 97)
Windmill ⊑ LightTruck: NA_ODP (k=3, nAx=1114, nAxPerStep=33.0, nDeltaODP = 98)
OrganizationalProcess ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
SludgeDisposalVessel ⊑ LightTruck: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
Attribute ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
TrafficLight ⊑ LightTruck: NA_ODP (k=5, nAx=1115, nAxPerStep=20.0, nDeltaODP = 97)
Transportation ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
TruckTractor ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
UnsurfacedRoadway ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
Machine ⊑ LightTruck: NA_ODP (k=3, nAx=1114, nAxPerStep=33.0, nDeltaODP = 98)
RailTransportationSystem ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
DeonticAttribute ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Railcar ⊑ LightTruck: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
PassengerShip ⊑ LightTruck: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
Agent ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
DeckCargo ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
AsymmetricRelation ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
JetEngine ⊑ LightTruck: NA_ODP (k=3, nAx=1114, nAxPerStep=33.0, nDeltaODP = 98)
GasolineEngine ⊑ LightTruck: NA_ODP (k=3, nAx=1114, nAxPerStep=33.0, nDeltaODP = 98)
Freighter ⊑ LightTruck: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
RollOnRollOffCargoShip ⊑ LightTruck: NA_ODP (k=13, nAx=1136, nAxPerStep=9.3, nDeltaODP = 98)
IrreflexiveRelation ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
NaturalGasPipeline ⊑ LightTruck: NA_ODP (k=8, nAx=1134, nAxPerStep=14.9, nDeltaODP = 98)
OffshoreShipRegister ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
GeopoliticalArea ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Ambulance ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
ScaleTestCar ⊑ LightTruck: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
OutfitCar ⊑ LightTruck: NA_ODP (k=15, nAx=1157, nAxPerStep=9.5, nDeltaODP = 98)
FiveWellStackCar ⊑ LightTruck: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
ModeOfTransit ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
SingleTrafficLane ⊑ LightTruck: NA_ODP (k=8, nAx=1134, nAxPerStep=14.9, nDeltaODP = 98)
ContractCarrier ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
FlatRackContainer ⊑ LightTruck: NA_ODP (k=8, nAx=1136, nAxPerStep=15.1, nDeltaODP = 98)
InternationalLaw ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
PortEmbargo ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
ContainerShip ⊑ LightTruck: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
TrainStation ⊑ LightTruck: NA_ODP (k=7, nAx=1134, nAxPerStep=17.0, nDeltaODP = 98)
Airport ⊑ LightTruck: NA_ODP (k=6, nAx=1117, nAxPerStep=17.0, nDeltaODP = 95)
LegalCharge ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
CargoShip ⊑ LightTruck: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
Translocation ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
InternalShipRegister ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
IntermodalTransportation ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Arriving ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
LiquefiedGasTankerShip ⊑ LightTruck: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
InternalCombustionEngine ⊑ LightTruck: NA_ODP (k=3, nAx=1114, nAxPerStep=33.0, nDeltaODP = 98)
CoachRailcar ⊑ LightTruck: NA_ODP (k=15, nAx=1157, nAxPerStep=9.5, nDeltaODP = 98)
TakingOff ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
GeographicArea ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
MilitaryVan ⊑ LightTruck: NA_ODP (k=8, nAx=1136, nAxPerStep=15.1, nDeltaODP = 98)
UreaCarrierShip ⊑ LightTruck: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
RadarOrSonar ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Catamaran ⊑ LightTruck: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
CommercialCarrier ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Trail ⊑ LightTruck: NA_ODP (k=10, nAx=1134, nAxPerStep=11.9, nDeltaODP = 97)
Dam ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Substance ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
DepartmentOfTransportation ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
LivestockCarrierShip ⊑ LightTruck: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
MerchantMarineShip ⊑ LightTruck: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
VehicleCarrierShip ⊑ LightTruck: NA_ODP (k=13, nAx=1136, nAxPerStep=9.3, nDeltaODP = 98)
TransportationSystem ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
FHWAVehicleClass5 ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
FHWAVehicleClass6 ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
FHWAVehicleClass7 ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
FHWAVehicleClass8 ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
Transitway ⊑ LightTruck: NA_ODP (k=7, nAx=1134, nAxPerStep=17.0, nDeltaODP = 98)
FHWAVehicleClass1 ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
PetroleumTankerShip ⊑ LightTruck: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
FHWAVehicleClass2 ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
LocalTransitSystem ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
FHWAVehicleClass4 ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
DrillingShip ⊑ LightTruck: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
BinaryPredicate ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
RoadJunction ⊑ LightTruck: NA_ODP (k=4, nAx=1114, nAxPerStep=24.8, nDeltaODP = 96)
FHWAVehicleClass9 ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
FullSizeVan ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
WoodChipsCarrierShip ⊑ LightTruck: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
DryBulkCargo ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
MaritimeBlockade ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
ShippingChannel ⊑ LightTruck: NA_ODP (k=10, nAx=1134, nAxPerStep=11.9, nDeltaODP = 98)
ShortSeaPassengerShip ⊑ LightTruck: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
Profession ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
RailwayTerminal ⊑ LightTruck: NA_ODP (k=7, nAx=1134, nAxPerStep=17.0, nDeltaODP = 98)
TransportationDevice ⊑ LightTruck: NA_ODP (k=8, nAx=1136, nAxPerStep=15.1, nDeltaODP = 98)
CrewDormCar ⊑ LightTruck: NA_ODP (k=15, nAx=1157, nAxPerStep=9.5, nDeltaODP = 98)
Signalling ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
MotorScooter ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 96)
CombinationOreAndOilCarrierShip ⊑ LightTruck: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
FishingTrawler ⊑ LightTruck: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
NavigationLight ⊑ LightTruck: NA_ODP (k=5, nAx=1115, nAxPerStep=20.0, nDeltaODP = 97)
CommercialService ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
RefrigeratedCargoShip ⊑ LightTruck: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
Managing ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
TransportationSchedule ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
TurbopropAirplane ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 96)
Making ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
JetAirplane ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 95)
Motorboat ⊑ LightTruck: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
Pipeline ⊑ LightTruck: NA_ODP (k=8, nAx=1134, nAxPerStep=14.9, nDeltaODP = 98)
Ramp ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
AirTrafficControlProcedure ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
PassengerCar ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 96)
TransportationCompany ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
CombinationBulkAndOilCarrierShip ⊑ LightTruck: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
TerminalBuilding ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Keeping ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
AirTrafficControlCenter ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
UserPoweredVehicle ⊑ LightTruck: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
IceBreakerShip ⊑ LightTruck: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
ShipHatch ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
ShipRegister ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Shipping ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
ShippingLane ⊑ LightTruck: NA_ODP (k=10, nAx=1134, nAxPerStep=11.9, nDeltaODP = 98)
Urea ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
SelfPoweredDevice ⊑ LightTruck: NA_ODP (k=9, nAx=1136, nAxPerStep=13.4, nDeltaODP = 98)
ParkingGarage ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
RelationalAttribute ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
FHWAVehicleClass12 ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
SportUtilityVehicle ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
FHWAVehicleClass13 ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
Wheel ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
InternationalAirport ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 95)
FHWAVehicleClass10 ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
FHWAVehicleClass11 ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 97)
Cycle ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
SurfacedRoadway ⊑ LightTruck: NA_ODP (k=3, nAx=1113, nAxPerStep=32.7, nDeltaODP = 96)
OrganicObject ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
HydraCushionFreightCar ⊑ LightTruck: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
TruckTrailer ⊑ LightTruck: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
ElectronicDevice ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
LinerService ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
SteamEngine ⊑ LightTruck: NA_ODP (k=3, nAx=1114, nAxPerStep=33.0, nDeltaODP = 98)
FuelTank ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
DeckCargoShip ⊑ LightTruck: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
HoistingDevice ⊑ LightTruck: NA_ODP (k=3, nAx=1114, nAxPerStep=33.0, nDeltaODP = 98)
FireBoat ⊑ LightTruck: NA_ODP (k=4, nAx=1114, nAxPerStep=24.8, nDeltaODP = 97)
TradeEmbargo ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
OffshoreWellProductionShip ⊑ LightTruck: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
DieselEngine ⊑ LightTruck: NA_ODP (k=3, nAx=1114, nAxPerStep=33.0, nDeltaODP = 98)
MotorHopper ⊑ LightTruck: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
OffshoreAnchorage ⊑ LightTruck: NA_ODP (k=4, nAx=1115, nAxPerStep=25.0, nDeltaODP = 98)
InternalAttribute ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
FossilFuel ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
UnaryFunction ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
TransportationControlDevice ⊑ LightTruck: NA_ODP (k=3, nAx=1114, nAxPerStep=33.0, nDeltaODP = 98)
RailCarrierControl ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
Object ⊑ LightTruck: NA_ODP (k=2, nAx=1113, nAxPerStep=49.0, nDeltaODP = 98)
OffshoreSupplyShip ⊑ LightTruck: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
Anchorage ⊑ LightTruck: NA_ODP (k=4, nAx=1115, nAxPerStep=25.0, nDeltaODP = 98)
PassengerRailwayCar ⊑ LightTruck: NA_ODP (k=15, nAx=1157, nAxPerStep=9.5, nDeltaODP = 98)
OpenTopRailcar ⊑ Helicopter: Rejected (k=7, nAx=1029, nAxPerStep=2.0)
SpecializedTankerShip ⊑ Helicopter: Rejected (k=7, nAx=1029, nAxPerStep=2.0)
RotaryDumpCar ⊑ Helicopter: Rejected (k=7, nAx=1029, nAxPerStep=2.0)
SelfConnectedObject ⊑ Helicopter: NA_ODP (k=6, nAx=1139, nAxPerStep=20.7, nDeltaODP = 8)
HumanPoweredDevice ⊑ Helicopter: NA_ODP (k=4, nAx=1122, nAxPerStep=26.8, nDeltaODP = 8)
PontoonBridge ⊑ Helicopter: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
RailwayVehicle ⊑ Helicopter: Rejected (k=7, nAx=1029, nAxPerStep=2.0)
BodyMotion ⊑ Helicopter: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
PhysicalQuantity ⊑ Helicopter: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Pier ⊑ Helicopter: NA_ODP (k=5, nAx=1128, nAxPerStep=22.6, nDeltaODP = 7)
Harbor ⊑ Helicopter: NA_ODP (k=5, nAx=1123, nAxPerStep=21.6, nDeltaODP = 8)
ChemicalTankerShip ⊑ Helicopter: Rejected (k=7, nAx=1029, nAxPerStep=2.0)
HumanHabitationSpace ⊑ Helicopter: NA_ODP (k=9, nAx=1141, nAxPerStep=14.0, nDeltaODP = 7)
RailwayJunction ⊑ Helicopter: Accepted (k=5, nAx=1115, nAxPerStep=20.0)
DiningCar ⊑ Helicopter: Rejected (k=11, nAx=1049, nAxPerStep=3.1)
TransitwayObstacle ⊑ Helicopter: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Barge ⊑ Helicopter: Rejected (k=5, nAx=1026, nAxPerStep=2.2)
UnimodalTransportationSystem ⊑ Helicopter: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
FlightDeck ⊑ Helicopter: NA_ODP (k=5, nAx=1123, nAxPerStep=21.6, nDeltaODP = 7)
Trailer ⊑ Helicopter: Rejected (k=6, nAx=1029, nAxPerStep=2.3)
SpineCar ⊑ Helicopter: Rejected (k=7, nAx=1029, nAxPerStep=2.0)
Text ⊑ Helicopter: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
TractorTrailer ⊑ Helicopter: NA_ODP (k=5, nAx=1122, nAxPerStep=21.4, nDeltaODP = 8)
CrewList ⊑ Helicopter: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
DirectingTraffic ⊑ Helicopter: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
ShipHold ⊑ Helicopter: NA_ODP (k=6, nAx=1123, nAxPerStep=18.0, nDeltaODP = 7)
Organization ⊑ Helicopter: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
LightFixture ⊑ Helicopter: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
RefrigeratedCompartment ⊑ Helicopter: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
ElectricalSignalling ⊑ Helicopter: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
AtmosphericRegion ⊑ Helicopter: NA_ODP (k=5, nAx=1126, nAxPerStep=22.2, nDeltaODP = 8)
