Ontology transportation.incoherent.xml
1157/2380 tiên đề logic
Số khái niệm không thoả được: 62
Số khái niệm: 445
Số tiên đề tri thức nền ban đầu: 1015
Ambulance ⊑ OpenTopRailcar: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Helicopter ⊑ LivestockCarrierShip: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ MerchantMarineShip: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ VehicleCarrierShip: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ TransportationSystem: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ FHWAVehicleClass5: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ FHWAVehicleClass6: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ FHWAVehicleClass7: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ FHWAVehicleClass8: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ Transitway: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ FHWAVehicleClass1: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ PetroleumTankerShip: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ FHWAVehicleClass2: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ LocalTransitSystem: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ FHWAVehicleClass4: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ DrillingShip: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ BinaryPredicate: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ RoadJunction: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ FHWAVehicleClass9: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ FullSizeVan: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ WoodChipsCarrierShip: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ DryBulkCargo: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ MaritimeBlockade: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ ShippingChannel: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ ShortSeaPassengerShip: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ Profession: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ RailwayTerminal: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ TransportationDevice: Accepted (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ CrewDormCar: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ Signalling: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ MotorScooter: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ CombinationOreAndOilCarrierShip: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ FishingTrawler: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ NavigationLight: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ CommercialService: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ RefrigeratedCargoShip: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ Managing: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ TransportationSchedule: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ TurbopropAirplane: Rejected (k=5, nAx=1114, nAxPerStep=19.8)
Helicopter ⊑ Making: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ JetAirplane: Rejected (k=5, nAx=1114, nAxPerStep=19.8)
Helicopter ⊑ Motorboat: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ Pipeline: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ Ramp: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ AirTrafficControlProcedure: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ PassengerCar: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ TransportationCompany: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ CombinationBulkAndOilCarrierShip: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ TerminalBuilding: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ Keeping: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ AirTrafficControlCenter: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ UserPoweredVehicle: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ IceBreakerShip: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ ShipHatch: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ ShipRegister: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ Shipping: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ ShippingLane: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ Urea: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ SelfPoweredDevice: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ ParkingGarage: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ RelationalAttribute: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ FHWAVehicleClass12: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ SportUtilityVehicle: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ FHWAVehicleClass13: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ Wheel: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ InternationalAirport: Rejected (k=5, nAx=1114, nAxPerStep=19.8)
Helicopter ⊑ FHWAVehicleClass10: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ FHWAVehicleClass11: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ Cycle: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ SurfacedRoadway: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ OrganicObject: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ HydraCushionFreightCar: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ TruckTrailer: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ ElectronicDevice: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ LinerService: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ SteamEngine: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ FuelTank: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ DeckCargoShip: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ HoistingDevice: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ FireBoat: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ TradeEmbargo: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ OffshoreWellProductionShip: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ DieselEngine: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ MotorHopper: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ OffshoreAnchorage: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ InternalAttribute: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ FossilFuel: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ UnaryFunction: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ TransportationControlDevice: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ RailCarrierControl: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ Object: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ OffshoreSupplyShip: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
Helicopter ⊑ Anchorage: NA_ODP (k=6, nAx=1121, nAxPerStep=17.7, nDeltaODP = 7)
Helicopter ⊑ PassengerRailwayCar: Rejected (k=4, nAx=1019, nAxPerStep=1.0)
AirRoute ⊑ OpenTopRailcar: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ SpecializedTankerShip: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ RotaryDumpCar: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ SelfConnectedObject: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ HumanPoweredDevice: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ PontoonBridge: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ RailwayVehicle: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ BodyMotion: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ PhysicalQuantity: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Pier: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Harbor: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ ChemicalTankerShip: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ HumanHabitationSpace: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ RailwayJunction: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ DiningCar: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ TransitwayObstacle: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Barge: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ UnimodalTransportationSystem: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ FlightDeck: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Trailer: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ SpineCar: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Text: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ TractorTrailer: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ CrewList: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ DirectingTraffic: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ ShipHold: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Organization: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ LightFixture: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ RefrigeratedCompartment: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ ElectricalSignalling: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ AtmosphericRegion: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ AirTrafficControlTower: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Trip: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ FishingBoat: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ AirportClassification: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ CraneShip: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Device: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ MotorizedRailwayCar: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Fuel: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ AirTrafficControlRadarRoom: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ MultipleTrackRailway: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ WaterTransportationSystem: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Motorcycle: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ AnimalPoweredDevice: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ PassengerAndCargoShip: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ CertificateOfRegistry: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ CognitiveAgent: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ SeaPort: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Containerization: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Flatcar: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ OrganicCompound: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ MilitaryWatercraft: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Runway: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Waterway: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ AirportByRunwaySurface: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ ContainerTerminal: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Street: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ PetroleumProduct: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Axle: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ OreCarrierShip: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ SetOrClass: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ ElectronicSignalling: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ ShipBerthing: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ LiquefiedPetroleumGas: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Dredger: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ TransportationAuthority: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ ElectricMotor: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Streetcar: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ CargoHandling: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ GeneralCargoShip: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ ElectrifiedRailwayCar: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ VolumeMeasure: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Hole: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Expressway: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ GliderAirplane: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ IntentionalProcess: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ TrainAssembly: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ PartialContainerShip: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ RegulatoryProcess: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ LiquefiedGasAndChemicalTankerShip: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ EmergencyVehicle: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ TrafficSignal: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Railway: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ ShipDeck: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ ElectricDevice: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ PropellerAirplane: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ LandArea: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ EmergencyRoadVehicle: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Battery: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ RailroadTrack: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ BusinessRailcar: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Container: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Seavan: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ LandVehicle: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ TransitTerminal: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ CubicFoot: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ AirTransitway: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Navigation: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Minivan: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ ShipCabin: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ OffshoreSupportShip: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Region: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Bridge: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Obligation: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ LengthMeasure: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ VehicleWheel: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ TrafficControlProcess: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ MajorAirCarrier: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ SingleValuedRelation: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Gasoline: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ CombinationCarrierShip: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Tunnel: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Physical: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ TextureAttribute: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ DeepwaterPort: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ RailcarCarrierShip: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ FreightCar: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ ShipBerth: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ RollingStock: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Motion: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ NavigationBuoy: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ TankCar: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Coal: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Boxcar: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ RailroadBridge: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ RadioNavigationBeacon: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ DeviceStateAttribute: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ MerchantMarine: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Building: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ RailroadCompany: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ CommonCarrier: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ AidToNavigation: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Cabotage: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ CarDistributionSystem: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ PortableBridge: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ CanalStructure: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ AirTrafficControlEnRouteCenter: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ CableShip: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Canoe: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ FishCarrierShip: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ Aircraft: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
AirRoute ⊑ HangarBay: NA_ODP (k=4, nAx=1019, nAxPerStep=1.0, nDeltaODP = 2)
